dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c
TRUE,2.284140598,0,2.522931385,0,0.268906757,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.522931385,0,0.250908407,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.522931385,0,0.238911497,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.451883198,0,0.176441291,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.451883198,0,0.167951706,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.451883198,0,0.162290584,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.451883198,0,0.158517901,0,0,1132.993,1183.42,0.1052947
TRUE,2.284140598,0,2.451883198,0,0.15600138,0,0,1132.993,1183.42,0.1052947
TRUE,2.928201408,0,2.451883198,0,0,0,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.451883198,0,0,98.48604843,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.451883198,0,0,117.3583802,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.451883198,0,0,129.9384986,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.341271853,0,0,159.6579147,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.341271853,0,0,170.1439437,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.341271853,0,0,177.1363993,0,1133.883,1183.495,0.1065204
TRUE,2.928201408,0,2.341271853,0,0,181.7962667,0,1133.883,1183.495,0.1065204
TRUE,3.514358468,0,2.341271853,0,0,295.8039499,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,345.8157289,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,366.2038204,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,379.7921132,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,388.8547433,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,394.8927284,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,398.9218201,0,1134.917,1183.583,0.1080711
TRUE,3.514358468,0,2.264531373,0,0,401.604113,0,1134.917,1183.583,0.1080711
TRUE,4.116615673,0,2.264531373,0,0,518.7817555,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.264531373,0,0,546.8797337,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.264531373,0,0,565.6173032,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.264531373,0,0,578.1034321,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,601.7935534,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,610.8426923,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,616.881275,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,620.9011733,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,623.586929,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,625.3716093,0,1136.216,1183.694,0.1101189
TRUE,4.116615673,0,2.185097431,0,0,626.5672197,0,1136.216,1183.694,0.1101189
TRUE,4.698412752,0,2.185097431,0,0,788.7373435,0,1137.715,1183.821,0.1125657
